id,type_Krippendroffis_alpha
1987.0,0.29931972789115646
1988.0,0.485
1989.0,1.0
1996.0,-0.030000000000000027
1997.0,0.485
2002.0,1.0
2003.0,1.0
2004.0,1.0
2005.0,0.485
2007.0,1.0
2009.0,1.0
2014.0,1.0
2015.0,1.0
2019.0,1.0
2024.0,1.0
2025.0,1.0
2026.0,1.0
2027.0,1.0
2028.0,1.0
2029.0,1.0
2030.0,1.0
2031.0,1.0
2034.0,1.0
2036.0,1.0
2037.0,1.0
2038.0,1.0
2039.0,1.0
2040.0,1.0
2041.0,1.0
2046.0,1.0
2047.0,1.0
2048.0,1.0
2049.0,1.0
2050.0,1.0
2051.0,1.0
2057.0,0.6600660066006601
2058.0,0.6600660066006601
2059.0,-0.009803921568627416
2063.0,1.0
2064.0,1.0
2065.0,1.0
2066.0,0.6496598639455782
2067.0,0.6600660066006601
2068.0,1.0
2069.0,1.0
2070.0,0.485
2071.0,1.0
2072.0,0.485
2077.0,0.37575757575757573
2079.0,0.37575757575757573
2082.0,0.485
2089.0,1.0
2090.0,0.485
2091.0,1.0
2092.0,0.485
2093.0,1.0
2094.0,1.0
2095.0,-0.030000000000000027
2096.0,1.0
2097.0,1.0
2098.0,1.0
2100.0,1.0
2102.0,1.0
2104.0,-0.009803921568627416
2113.0,-0.009803921568627416
2114.0,-0.009803921568627416
2119.0,1.0
2120.0,0.485
2127.0,0.6496598639455782
2128.0,1.0
2139.0,1.0
2140.0,1.0
2141.0,1.0
2142.0,0.6600660066006601
2143.0,-0.01980198019801982
2144.0,1.0
2145.0,1.0
2146.0,1.0
2147.0,1.0
2148.0,1.0
2149.0,1.0
2150.0,1.0
2152.0,1.0
2163.0,0.8483063328424153
2164.0,0.7919191919191919
2168.0,0.8483063328424153
2170.0,1.0
2171.0,1.0
2172.0,1.0
2173.0,0.8134057971014492
2174.0,0.87953216374269
2175.0,0.29931972789115646
2176.0,1.0
2177.0,1.0
2178.0,1.0
2181.0,1.0
2182.0,1.0
2185.0,1.0
2186.0,1.0
2189.0,-0.009803921568627416
2190.0,1.0
2191.0,1.0
2192.0,1.0
2205.0,0.485
2206.0,0.485
2207.0,1.0
2208.0,0.39766081871345027
2209.0,1.0
2210.0,1.0
2217.0,1.0
2218.0,1.0
2219.0,1.0
2220.0,0.485
2222.0,1.0
2223.0,0.485
2224.0,-0.01980198019801982
2227.0,0.485
2228.0,0.6496598639455782
2229.0,1.0
2230.0,0.485
2231.0,1.0
2232.0,0.485
2237.0,1.0
