,type_Fleiss_kappa
1402,0.36385542168674545
1191,0.6422764227642284
283,0.4761904761904756
1168,0.6422764227642284
583,0.6422764227642284
1281,0.6422764227642284
669,0.28455284552845594
107,0.4761904761904756
1022,1.0
1065,0.4761904761904756
680,0.36385542168674545
623,0.4761904761904756
1237,0.4761904761904756
1206,-0.03529411764706031
1227,0.6549019607843138
1007,1.0
726,0.6422764227642284
734,1.0
772,-0.047619047619050114
816,1.0
1358,1.0
441,0.5343915343915343
611,0.4761904761904756
1361,0.7879518072289154
638,1.0
1111,0.4761904761904756
975,0.6549019607843138
1150,0.6422764227642284
1354,0.8447971781305117
1292,1.0
193,1.0
1090,1.0
942,1.0
1161,0.6286919831223625
1199,0.6286919831223625
1066,1.0
1151,1.0
899,1.0
854,0.7879518072289154
780,0.36385542168674545
1290,0.28455284552845594
1149,1.0
229,0.8762306610407877
656,0.7879518072289154
713,0.4761904761904756
280,0.4761904761904756
1069,0.36385542168674545
592,-0.03529411764706031
675,0.36385542168674545
967,0.4761904761904756
414,0.22398589065255764
668,-0.03529411764706031
649,1.0
906,0.7879518072289154
698,1.0
317,1.0
757,0.6422764227642284
761,0.6422764227642284
851,0.7879518072289154
1059,-0.03529411764706031
1046,0.6422764227642284
1324,0.7879518072289154
391,0.6422764227642284
1010,1.0
762,1.0
1246,-0.023255813953487674
1068,0.4761904761904756
625,1.0
1057,0.4761904761904756
992,0.36385542168674545
5,0.7879518072289154
1173,1.0
1174,1.0
821,0.6422764227642284
711,0.6422764227642284
1158,1.0
1157,1.0
1004,1.0
1145,0.4761904761904756
866,0.4761904761904756
304,0.4761904761904756
240,0.4761904761904756
279,1.0
1234,0.7879518072289154
631,0.6549019607843138
643,0.6422764227642284
1334,-0.047619047619050114
1231,0.4761904761904756
1283,0.8447971781305117
834,0.3811533052039379
648,0.22398589065255764
858,0.28455284552845594
1156,0.6549019607843138
557,0.6549019607843138
1042,0.4761904761904756
1348,1.0
561,0.7879518072289154
6,0.7879518072289154
1055,1.0
1038,0.7879518072289154
841,0.7879518072289154
1163,1.0
953,1.0
1179,1.0
1221,0.5343915343915343
1182,0.4761904761904756
823,0.6422764227642284
653,0.5343915343915343
423,1.0
622,1.0
822,0.7879518072289154
1060,0.36385542168674545
231,0.4761904761904756
1039,0.4761904761904756
916,-0.03529411764706031
1107,0.6549019607843138
893,0.7879518072289154
1403,0.8961038961038962
1293,1.0
907,1.0
1014,1.0
742,1.0
718,1.0
224,0.6422764227642284
389,1.0
966,0.7743589743589745
560,0.6422764227642284
639,-0.023255813953487674
733,0.7879518072289154
543,0.8447971781305117
216,0.8447971781305117
954,0.8762306610407877
770,1.0
