,intersection2,union,inter2/union
C,203,305,0.6655737704918033
E,237,285,0.8315789473684211
B,284,423,0.6713947990543735
L,319,413,0.7723970944309927
F,180,259,0.694980694980695
D,176,231,0.7619047619047619
K,58,92,0.6304347826086957
N,74,110,0.6727272727272727
A,142,203,0.6995073891625616
O,5,9,0.5555555555555556
Q,1,1,1.0
P,9,9,1.0
R,1,1,1.0
sum,0.0,0.0,0.7658503898680871
