,sql_id,username,record_id,code
0,1402,tianyi,record_id_x,CE2
1,1402,tianyi,record_id_x,E1
2,1402,tianyi,record_id_x,BL3
3,1191,tianyi,record_id_x,F4
4,1191,tianyi,record_id_x,BF4
5,1191,tianyi,record_id_x,CE2
6,283,tianyi,record_id_x,BF4
7,283,tianyi,record_id_x,D1a
8,1168,tianyi,record_id_x,D1
9,1168,tianyi,record_id_x,BF4
10,1168,tianyi,record_id_x,D1a
11,583,tianyi,record_id_x,BL1
12,583,tianyi,record_id_x,D1
13,583,tianyi,record_id_x,BF4
14,1281,tianyi,record_id_x,CE3
15,1281,tianyi,record_id_x,BL1
16,1281,tianyi,record_id_x,E1
17,1281,tianyi,record_id_x,BF4
18,669,tianyi,record_id_x,CE3
19,669,tianyi,record_id_x,D1c
20,669,tianyi,record_id_x,E1
21,669,tianyi,record_id_x,BF4
22,107,tianyi,record_id_x,D1c
23,107,tianyi,record_id_x,BL2
24,1022,tianyi,record_id_x,BL1
25,1022,tianyi,record_id_x,BL2
26,1065,tianyi,record_id_x,E1
27,1065,tianyi,record_id_x,D1a
28,680,tianyi,record_id_x,D1c
29,680,tianyi,record_id_x,E1
30,680,tianyi,record_id_x,D1a
31,623,tianyi,record_id_x,D1c
32,623,tianyi,record_id_x,D1a
33,1237,tianyi,record_id_x,D1c
34,1237,tianyi,record_id_x,D1a
35,1206,tianyi,record_id_x,D1c
36,1206,tianyi,record_id_x,K3
37,1227,tianyi,record_id_x,D1
38,1227,tianyi,record_id_x,K3
39,1007,tianyi,record_id_x,D1
40,1007,tianyi,record_id_x,BN1
41,726,tianyi,record_id_x,BL1
42,726,tianyi,record_id_x,K3
43,726,tianyi,record_id_x,BN1
44,726,tianyi,record_id_x,K2
45,734,tianyi,record_id_x,BL1
46,734,tianyi,record_id_x,D1c
47,734,tianyi,record_id_x,K2
48,734,tianyi,record_id_x,K3
49,772,tianyi,record_id_x,D1c
50,772,tianyi,record_id_x,BL2
51,816,tianyi,record_id_x,L5
52,816,tianyi,record_id_x,CE2
53,816,tianyi,record_id_x,F4
54,816,tianyi,record_id_x,BL3
55,1358,tianyi,record_id_x,L5
56,1358,tianyi,record_id_x,CE2
57,441,tianyi,record_id_x,BL1
58,441,tianyi,record_id_x,E1
59,441,tianyi,record_id_x,A2a
60,441,tianyi,record_id_x,BF4
61,611,tianyi,record_id_x,BL1
62,611,tianyi,record_id_x,E1
63,1361,tianyi,record_id_x,E1
64,1361,tianyi,record_id_x,A2a
65,638,tianyi,record_id_x,E1
66,1111,tianyi,record_id_x,D1c
67,975,tianyi,record_id_x,D1c
68,975,tianyi,record_id_x,K2
69,1150,tianyi,record_id_x,F3
