,category_Fleiss_kappa
1694,1.0
1834,0.723076923076923
2303,1.0
1728,0.5
1815,0.5
2384,1.0
2188,1.0
525,0.723076923076923
517,1.0
1098,1.0
2397,-0.125
1504,1.0
1047,1.0
1048,1.0
1737,0.0
248,0.16923076923076916
1648,1.0
2375,1.0
1695,0.5999999999999996
2055,1.0
2352,1.0
877,1.0
1148,1.0
1807,1.0
1137,0.35714285714285715
306,1.0
1952,1.0
1147,1.0
1988,0.5999999999999996
445,0.5999999999999996
2372,0.16923076923076916
1726,1.0
1188,-0.125
237,1.0
526,0.723076923076923
2381,0.723076923076923
1827,0.35714285714285715
487,0.35714285714285715
922,0.29870129870129847
2396,-0.125
1579,1.0
2148,0.7777777777777777
2152,1.0
584,0.5999999999999996
670,1.0
1100,1.0
1778,0.723076923076923
603,1.0
2041,0.35714285714285715
107,0.35714285714285715
2331,0.35714285714285715
2044,1.0
1102,1.0
1211,1.0
2269,1.0
2330,1.0
2368,1.0
2172,1.0
2053,1.0
788,1.0
2295,1.0
1678,1.0
253,1.0
1344,1.0
479,1.0
2034,0.55
665,1.0
2147,0.766233766233766
2169,1.0
1672,1.0
1697,1.0
2377,1.0
2376,0.723076923076923
618,1.0
2383,0.723076923076923
2074,0.16923076923076916
492,0.7777777777777777
1702,1.0
1170,1.0
1150,1.0
2079,0.5999999999999996
2386,1.0
555,1.0
2297,1.0
2345,-0.20000000000000057
621,1.0
1955,1.0
1962,1.0
1856,1.0
1287,1.0
285,1.0
1456,1.0
1602,1.0
1839,0.5999999999999996
613,1.0
2015,1.0
2217,1.0
1144,1.0
1252,1.0
2009,0.5
775,1.0
2056,1.0
2350,1.0
2292,0.55
1756,-0.2857142857142857
789,1.0
1868,0.723076923076923
1327,1.0
2006,-0.125
2005,0.5999999999999996
681,1.0
1325,1.0
2215,1.0
2219,1.0
45,1.0
1611,1.0
1608,1.0
2035,0.55
2338,0.35714285714285715
1115,0.5999999999999996
284,1.0
686,1.0
2017,1.0
2157,1.0
1833,1.0
2158,1.0
1136,1.0
1562,0.723076923076923
average,0.8054700074231321
