,intersection2,union,inter2/union
F1,3,6,0.5
F2,1,2,0.5
D1a,28,32,0.875
A1a,2,2,1.0
KA1b,4,4,1.0
CL1,8,18,0.4444444444444444
BN1,4,6,0.6666666666666666
AN2,5,5,1.0
CE2,11,15,0.7333333333333333
A1f,1,3,0.3333333333333333
D1,11,17,0.6470588235294118
BE5,2,8,0.25
BL3,0,13,0.0
BL2,4,4,1.0
CE3,0,5,0.0
BL1,7,12,0.5833333333333334
BF4,7,10,0.7
L4,0,3,0.0
A2a,1,2,0.5
A1,0,1,0.0
F3,3,6,0.5
A1b,3,6,0.5
CF5,1,3,0.3333333333333333
E1,4,10,0.4
L5,1,5,0.2
A1e,2,3,0.6666666666666666
A1d,4,5,0.8
F4,4,8,0.5
K2,2,2,1.0
A1g,1,5,0.2
D1c,1,9,0.1111111111111111
D1b,3,5,0.6
sum,0.0,0.0,0.5013418498712616
