,category_Fleiss_kappa
1024,1.0
1025,0.7523809523809525
1026,1.0
689,0.5666666666666665
1027,0.5666666666666665
1028,1.0
1029,1.0
1030,0.7523809523809525
1031,1.0
1032,1.0
1033,-0.08333333333333463
595,1.0
385,1.0
386,1.0
696,0.1333333333333331
1034,0.2571428571428571
654,1.0
1035,1.0
674,0.6231884057971018
1036,1.0
1037,1.0
309,1.0
1038,1.0
1039,1.0
1040,0.40909090909090906
521,1.0
804,1.0
1041,1.0
819,0.6231884057971018
1042,0.6231884057971018
1043,0.2571428571428571
1044,1.0
542,-0.08333333333333463
518,1.0
1045,0.7523809523809525
1046,0.7523809523809525
1047,0.40909090909090906
150,0.40909090909090906
327,0.6749999999999999
1048,-0.08333333333333463
1049,1.0
897,0.8300653594771243
900,1.0
178,0.804511278195489
211,1.0
1017,1.0
715,0.7523809523809525
1050,1.0
846,0.40909090909090906
35,0.6749999999999999
1051,0.40909090909090906
1052,1.0
1053,1.0
544,1.0
1054,1.0
1055,1.0
1056,1.0
906,1.0
1057,1.0
1058,1.0
1059,1.0
666,1.0
1060,1.0
1061,1.0
1062,1.0
840,0.6749999999999999
1063,1.0
896,0.804511278195489
1064,1.0
1065,1.0
1066,1.0
1067,1.0
1068,0.7523809523809525
1069,1.0
1070,0.7523809523809525
1071,0.2571428571428571
1072,0.8300653594771243
1073,1.0
986,1.0
418,1.0
867,0.6231884057971018
1074,1.0
1075,1.0
1076,1.0
1077,-0.1304347826086952
514,1.0
1078,1.0
1079,1.0
743,1.0
1080,1.0
1081,1.0
1082,1.0
1083,1.0
1084,0.6231884057971018
1085,1.0
830,1.0
927,1.0
1086,1.0
547,1.0
828,0.5666666666666665
265,1.0
1087,1.0
1088,1.0
1089,0.638888888888889
706,-0.1818181818181819
269,1.0
748,0.7523809523809525
556,1.0
1090,-0.08333333333333463
826,0.6231884057971018
220,0.804511278195489
982,1.0
1091,1.0
929,1.0
1006,1.0
633,1.0
632,1.0
1092,0.638888888888889
1093,0.40909090909090906
1094,0.6231884057971018
486,1.0
1095,1.0
1096,1.0
1097,1.0
1098,1.0
1099,1.0
1100,1.0
1101,0.7523809523809525
255,1.0
965,1.0
966,0.638888888888889
164,1.0
52,1.0
967,1.0
968,0.8300653594771243
969,0.27777777777777785
329,1.0
970,1.0
254,1.0
182,1.0
237,0.1333333333333331
284,0.804511278195489
971,0.804511278195489
972,1.0
232,0.638888888888889
170,0.8300653594771243
349,1.0
973,1.0
288,1.0
229,0.6749999999999999
974,0.638888888888889
268,0.7523809523809525
160,0.804511278195489
975,1.0
976,1.0
977,1.0
978,1.0
133,1.0
198,1.0
979,1.0
980,1.0
67,1.0
226,0.804511278195489
981,0.1333333333333331
279,1.0
144,1.0
383,1.0
303,1.0
983,0.5666666666666665
984,0.804511278195489
985,1.0
346,1.0
987,1.0
140,1.0
99,1.0
988,1.0
310,0.638888888888889
989,1.0
368,0.6749999999999999
990,0.638888888888889
991,0.27777777777777785
46,1.0
89,0.40909090909090906
381,0.8424242424242425
992,1.0
203,0.8300653594771243
292,0.8300653594771243
993,1.0
994,1.0
358,1.0
234,1.0
225,1.0
995,1.0
996,1.0
324,0.7523809523809525
997,0.8300653594771243
998,0.8300653594771243
108,0.6749999999999999
999,0.8300653594771243
163,1.0
264,1.0
1000,0.4135338345864665
180,0.15032679738562096
65,0.8424242424242425
1001,1.0
307,0.638888888888889
186,0.8424242424242425
1002,1.0
1003,0.8300653594771243
1004,0.8300653594771243
25,1.0
313,0.2571428571428571
1005,1.0
1007,0.8300653594771243
207,0.8300653594771243
202,1.0
17,1.0
171,1.0
206,1.0
1008,-0.03999999999999868
212,0.8424242424242425
24,1.0
96,1.0
290,0.7523809523809525
141,1.0
103,0.6749999999999999
247,1.0
32,0.7523809523809525
34,0.804511278195489
252,0.638888888888889
1009,0.8424242424242425
1010,0.6904761904761905
1011,0.27777777777777785
1012,0.5272727272727274
218,0.638888888888889
1013,0.49019607843137264
1014,0.7523809523809525
214,0.8300653594771243
1015,1.0
344,1.0
1016,1.0
71,1.0
50,1.0
143,0.804511278195489
273,1.0
276,0.8461538461538463
374,0.8300653594771243
1018,1.0
334,0.8300653594771243
1019,0.8300653594771243
1020,1.0
184,1.0
1021,1.0
377,0.3499999999999999
1022,0.7523809523809525
1023,0.40909090909090906
83,0.8424242424242425
240,1.0
398,1.0
399,1.0
400,0.5666666666666665
401,0.7523809523809525
402,1.0
403,0.638888888888889
210,0.49019607843137264
372,1.0
404,0.2571428571428571
219,0.7523809523809525
405,1.0
406,1.0
407,0.6231884057971018
408,0.6231884057971018
409,1.0
410,0.804511278195489
411,1.0
412,0.7523809523809525
413,1.0
414,1.0
129,0.8424242424242425
181,1.0
415,0.5666666666666665
193,0.49019607843137264
416,0.2571428571428571
417,0.6231884057971018
419,0.8300653594771243
420,1.0
62,0.6904761904761905
421,1.0
331,1.0
422,0.804511278195489
