,intersection2,union,inter2/union
F,279,381,0.7322834645669292
D,294,377,0.7798408488063661
A,280,359,0.7799442896935933
K,87,128,0.6796875
C,316,444,0.7117117117117117
L,495,607,0.8154859967051071
B,442,628,0.7038216560509554
N,129,187,0.6898395721925134
E,348,409,0.8508557457212714
P,33,36,0.9166666666666666
Q,8,8,1.0
O,21,25,0.84
R,1,1,1.0
sum,0.0,0.0,0.8077028809319319
