,type_Fleiss_kappa
1024,0.6559139784946231
1025,0.7890109890109885
1026,1.0
689,0.6559139784946231
1027,0.6559139784946231
1028,1.0
1029,1.0
1030,0.47826086956521674
1031,1.0
1032,-0.02127659574467871
1033,-0.02127659574467871
595,1.0
385,1.0
386,1.0
696,-0.03225806451612903
1034,-0.03225806451612903
654,0.6559139784946231
1035,-0.02127659574467871
674,0.47826086956521674
1036,0.7890109890109885
1037,1.0
309,-0.03225806451612903
1038,1.0
1039,1.0
1040,-0.02127659574467871
521,-0.02127659574467871
804,1.0
1041,1.0
819,0.6559139784946231
1042,-0.02127659574467871
1043,-0.03225806451612903
1044,1.0
542,-0.02127659574467871
518,1.0
1045,-0.03225806451612903
1046,0.6559139784946231
1047,0.6559139784946231
150,0.47826086956521674
327,0.1818181818181825
1048,-0.02127659574467871
1049,0.47826086956521674
897,0.6444444444444447
900,1.0
178,0.7890109890109885
211,0.6444444444444447
1017,1.0
715,0.6559139784946231
1050,1.0
846,-0.02127659574467871
35,0.632183908045977
1051,0.47826086956521674
1052,1.0
1053,1.0
544,1.0
1054,1.0
1055,0.47826086956521674
1056,1.0
906,1.0
1057,1.0
1058,1.0
1059,1.0
666,1.0
1060,1.0
1061,-0.02127659574467871
1062,1.0
840,0.7890109890109885
1063,1.0
896,0.3670329670329669
1064,1.0
1065,1.0
1066,1.0
1067,1.0
1068,0.6559139784946231
1069,1.0
1070,0.6559139784946231
1071,0.3670329670329669
1072,0.845906902086677
1073,1.0
986,1.0
418,1.0
867,0.6559139784946231
1074,1.0
1075,1.0
1076,1.0
1077,-0.02127659574467871
514,1.0
1078,1.0
1079,1.0
743,0.6559139784946231
1080,1.0
1081,1.0
1082,1.0
1083,1.0
1084,0.6559139784946231
1085,1.0
830,0.6444444444444447
927,1.0
1086,1.0
547,-0.02127659574467871
828,0.47826086956521674
265,0.7272727272727277
1087,1.0
1088,1.0
1089,0.6444444444444447
706,-0.02127659574467871
269,1.0
748,0.6559139784946231
556,1.0
1090,-0.02127659574467871
826,0.6559139784946231
220,0.7890109890109885
982,1.0
1091,-0.02127659574467871
929,1.0
1006,1.0
633,1.0
632,1.0
1092,0.47826086956521674
1093,0.6559139784946231
1094,0.47826086956521674
486,1.0
1095,1.0
1096,1.0
1097,0.7890109890109885
1098,1.0
1099,0.47826086956521674
1100,1.0
1101,0.6559139784946231
255,0.9110287303058385
965,0.632183908045977
966,0.5377207062600318
164,0.7767441860465117
52,0.7890109890109885
967,0.845906902086677
968,0.7272727272727277
969,0.6444444444444447
329,1.0
970,1.0
254,1.0
182,0.553488372093023
237,0.3670329670329669
284,0.845906902086677
971,0.6444444444444447
972,1.0
232,0.7272727272727277
170,0.8773946360153254
349,0.845906902086677
973,1.0
288,1.0
229,0.7272727272727277
974,0.3670329670329669
268,0.3670329670329669
160,0.6444444444444447
975,1.0
976,1.0
977,0.47826086956521674
978,0.47826086956521674
133,1.0
198,1.0
979,0.7890109890109885
980,1.0
67,0.845906902086677
226,0.7890109890109885
981,0.47826086956521674
279,1.0
144,1.0
383,0.8973262032085559
303,0.8973262032085559
983,0.6444444444444447
984,0.7890109890109885
985,1.0
346,0.7767441860465117
987,1.0
140,1.0
99,1.0
988,1.0
310,0.6444444444444447
989,1.0
368,-0.0786516853932595
990,0.3670329670329669
991,-0.05494505494505483
46,0.5377207062600318
89,0.6444444444444447
381,0.632183908045977
992,0.845906902086677
203,0.7767441860465117
292,0.6190476190476188
993,0.2888888888888886
994,0.5377207062600318
358,1.0
234,0.845906902086677
225,0.8773946360153254
995,0.5377207062600318
996,0.7272727272727277
324,0.47826086956521674
997,0.7272727272727277
998,0.845906902086677
108,0.632183908045977
999,0.45454545454545475
163,0.845906902086677
264,0.7890109890109885
1000,0.47826086956521674
180,0.45454545454545475
65,0.845906902086677
1001,1.0
307,0.6444444444444447
186,0.553488372093023
1002,0.6444444444444447
1003,0.2888888888888886
1004,0.6444444444444447
25,0.845906902086677
313,0.47826086956521674
1005,1.0
