,sql_id,username,record_id,code
0,746,tianyi,record_id_x,BL1
1,746,tianyi,record_id_x,F3
2,746,tianyi,record_id_x,F4
3,746,tianyi,record_id_x,AN2
4,746,tianyi,record_id_x,CE2
5,1088,tianyi,record_id_x,BL1
6,1088,tianyi,record_id_x,F3
7,1088,tianyi,record_id_x,BE5
8,1088,tianyi,record_id_x,AN2
9,1088,tianyi,record_id_x,CE2
10,1317,tianyi,record_id_x,BL1
11,1317,tianyi,record_id_x,E1
12,1317,tianyi,record_id_x,BE5
13,1317,tianyi,record_id_x,BF4
14,548,tianyi,record_id_x,BL1
15,548,tianyi,record_id_x,E1
16,548,tianyi,record_id_x,BF4
17,548,tianyi,record_id_x,D1a
18,159,tianyi,record_id_x,K2
19,159,tianyi,record_id_x,D1a
20,375,tianyi,record_id_x,L5
21,375,tianyi,record_id_x,F4
22,375,tianyi,record_id_x,CL1
23,375,tianyi,record_id_x,K2
24,1064,tianyi,record_id_x,L5
25,1064,tianyi,record_id_x,F4
26,1064,tianyi,record_id_x,D1a
27,1064,tianyi,record_id_x,CL1
28,1217,tianyi,record_id_x,F4
29,1217,tianyi,record_id_x,D1a
30,930,tianyi,record_id_x,F4
31,930,tianyi,record_id_x,D1a
32,1220,tianyi,record_id_x,A1b
33,1220,tianyi,record_id_x,P3
34,1220,tianyi,record_id_x,D1a
35,745,tianyi,record_id_x,F3
36,745,tianyi,record_id_x,BL3
37,745,tianyi,record_id_x,AN2
38,745,tianyi,record_id_x,A1b
39,612,tianyi,record_id_x,A1b
40,612,tianyi,record_id_x,F3
41,612,tianyi,record_id_x,BL3
42,612,tianyi,record_id_x,AN2
43,712,tianyi,record_id_x,A1b
44,831,tianyi,record_id_x,F3
45,831,tianyi,record_id_x,A1f
46,831,tianyi,record_id_x,AN2
47,1377,tianyi,record_id_x,L5
48,1377,tianyi,record_id_x,F3
49,1377,tianyi,record_id_x,A1f
50,1377,tianyi,record_id_x,AN2
51,1247,tianyi,record_id_x,L5
52,1247,tianyi,record_id_x,BL1
53,1247,tianyi,record_id_x,D1
54,707,tianyi,record_id_x,BL1
55,707,tianyi,record_id_x,BN1
56,707,tianyi,record_id_x,BL3
57,562,tianyi,record_id_x,BL1
58,562,tianyi,record_id_x,BN1
59,562,tianyi,record_id_x,D1
60,562,tianyi,record_id_x,BL3
61,982,tianyi,record_id_x,BL1
62,982,tianyi,record_id_x,BN1
63,853,tianyi,record_id_x,D1
64,853,tianyi,record_id_x,BN1
65,836,tianyi,record_id_x,BL1
66,836,tianyi,record_id_x,D1
67,697,tianyi,record_id_x,BN1
68,697,tianyi,record_id_x,CL1
69,1389,tianyi,record_id_x,D1c
70,1389,tianyi,record_id_x,BN1
71,1389,tianyi,record_id_x,CL1
72,786,tianyi,record_id_x,D1c
73,786,tianyi,record_id_x,N3
74,528,tianyi,record_id_x,A1b
75,528,tianyi,record_id_x,CE2
76,528,tianyi,record_id_x,N3
77,425,tianyi,record_id_x,A1b
78,425,tianyi,record_id_x,CE2
79,425,tianyi,record_id_x,AN2
80,769,tianyi,record_id_x,BL3
81,769,tianyi,record_id_x,AN2
82,769,tianyi,record_id_x,E1
83,1092,tianyi,record_id_x,D1c
84,1092,tianyi,record_id_x,BL3
85,704,tianyi,record_id_x,D1c
86,704,tianyi,record_id_x,D1a
87,457,tianyi,record_id_x,F4
88,457,tianyi,record_id_x,D1a
89,646,tianyi,record_id_x,BL1
90,646,tianyi,record_id_x,F4
91,646,tianyi,record_id_x,K2
92,1269,tianyi,record_id_x,BL1
93,1269,tianyi,record_id_x,KA1b
94,1093,tianyi,record_id_x,KA1b
95,1093,tianyi,record_id_x,BF4
96,211,tianyi,record_id_x,L4
97,211,tianyi,record_id_x,BF4
98,694,tianyi,record_id_x,BN1
99,694,tianyi,record_id_x,L4
100,238,tianyi,record_id_x,BN1
101,238,tianyi,record_id_x,D1a
102,820,tianyi,record_id_x,BN1
103,820,tianyi,record_id_x,D1a
104,475,tianyi,record_id_x,BN1
105,475,tianyi,record_id_x,F4
106,1045,tianyi,record_id_x,BL1
107,1045,tianyi,record_id_x,L4
108,1045,tianyi,record_id_x,D1
109,1045,tianyi,record_id_x,F4
110,868,tianyi,record_id_x,BL1
111,868,tianyi,record_id_x,L4
112,868,tianyi,record_id_x,D1
113,868,tianyi,record_id_x,D1a
114,1325,tianyi,record_id_x,E1
115,1325,tianyi,record_id_x,BE5
116,1325,tianyi,record_id_x,D1a
117,1291,tianyi,record_id_x,CE2
118,1291,tianyi,record_id_x,E1
119,1291,tianyi,record_id_x,BE5
120,1356,tianyi,record_id_x,CE2
121,1356,tianyi,record_id_x,D1
122,1214,tianyi,record_id_x,D1
123,1214,tianyi,record_id_x,D1a
124,584,tianyi,record_id_x,BL1
125,584,tianyi,record_id_x,D1a
126,1170,tianyi,record_id_x,BE5
127,978,tianyi,record_id_x,BL1
128,978,tianyi,record_id_x,BE5
129,978,tianyi,record_id_x,BF4
130,1251,tianyi,record_id_x,KA1b
131,1251,tianyi,record_id_x,F1
132,1251,tianyi,record_id_x,BF4
133,471,tianyi,record_id_x,CL1
134,471,tianyi,record_id_x,KA1b
135,471,tianyi,record_id_x,F1
136,380,tianyi,record_id_x,CL1
137,380,tianyi,record_id_x,D1c
138,1250,tianyi,record_id_x,D1c
139,1250,tianyi,record_id_x,BN1
140,883,tianyi,record_id_x,F1
141,1326,tianyi,record_id_x,A1a
142,1326,tianyi,record_id_x,BE5
143,1016,tianyi,record_id_x,F4
144,1016,tianyi,record_id_x,AN2
145,1169,tianyi,record_id_x,BE5
146,1169,tianyi,record_id_x,F4
147,1169,tianyi,record_id_x,CF5
148,1392,tianyi,record_id_x,D1c
149,1392,tianyi,record_id_x,BE5
150,134,tianyi,record_id_x,L5
151,134,tianyi,record_id_x,D1c
152,360,tianyi,record_id_x,L5
153,360,tianyi,record_id_x,BL1
154,1043,tianyi,record_id_x,CL1
155,1043,tianyi,record_id_x,D1
156,1058,tianyi,record_id_x,CL1
157,1058,tianyi,record_id_x,D1
158,1058,tianyi,record_id_x,F4
159,652,tianyi,record_id_x,CL1
160,652,tianyi,record_id_x,F4
161,847,tianyi,record_id_x,CL1
162,847,tianyi,record_id_x,BF4
163,1067,tianyi,record_id_x,BL1
164,1067,tianyi,record_id_x,BF4
165,1067,tianyi,record_id_x,CF5
166,994,tianyi,record_id_x,CL1
167,994,tianyi,record_id_x,BE5
168,994,tianyi,record_id_x,BF4
169,998,tianyi,record_id_x,BE5
170,998,tianyi,record_id_x,BL3
171,709,tianyi,record_id_x,BN1
172,709,tianyi,record_id_x,BL3
173,692,tianyi,record_id_x,D1c
174,692,tianyi,record_id_x,BN1
175,1239,tianyi,record_id_x,D1c
176,1239,tianyi,record_id_x,CE2
177,1239,tianyi,record_id_x,BL1
178,1242,tianyi,record_id_x,CE2
179,1242,tianyi,record_id_x,CF5
180,1242,tianyi,record_id_x,BF4
181,1242,tianyi,record_id_x,CL1
182,917,tianyi,record_id_x,CF5
183,1225,tianyi,record_id_x,D1
184,1225,tianyi,record_id_x,E1
