,category_Fleiss_kappa
746,1.0
1088,1.0
1317,0.6071428571428573
548,0.8119658119658119
159,1.0
375,1.0
1064,0.8119658119658119
1217,0.21428571428571427
930,1.0
1220,1.0
745,1.0
612,1.0
712,-0.22222222222222268
831,0.5416666666666669
1377,0.7904761904761904
1247,1.0
707,0.7411764705882352
562,0.7904761904761904
982,1.0
853,1.0
836,1.0
697,0.5416666666666669
1389,0.6071428571428573
786,0.7411764705882352
528,0.7904761904761904
425,1.0
769,1.0
1092,1.0
704,1.0
457,1.0
646,1.0
1269,1.0
1093,1.0
211,1.0
694,0.22352941176470606
238,0.08333333333333333
820,1.0
475,1.0
1045,0.7904761904761904
868,0.7411764705882352
1325,0.7411764705882352
1291,0.5416666666666669
1356,0.7904761904761904
1214,1.0
584,1.0
1170,1.0
978,1.0
1251,1.0
471,1.0
380,1.0
1250,1.0
883,1.0
1326,1.0
1016,0.38888888888888884
1169,0.6071428571428573
1392,0.21428571428571427
134,0.7411764705882352
360,0.38888888888888884
1043,0.5416666666666669
1058,1.0
652,0.6071428571428573
847,0.8119658119658119
1067,1.0
994,1.0
998,1.0
709,1.0
692,0.6071428571428573
1239,1.0
1242,1.0
917,1.0
1225,0.8119658119658119
1146,0.8119658119658119
392,0.21428571428571427
1096,0.8119658119658119
547,0.7904761904761904
771,1.0
806,0.3714285714285715
593,-0.047619047619047714
208,0.7904761904761904
350,1.0
874,1.0
630,1.0
968,1.0
1273,0.8119658119658119
1071,0.8119658119658119
75,1.0
892,0.22352941176470606
504,1.0
45,1.0
1083,0.8119658119658119
662,0.8119658119658119
651,0.7904761904761904
46,1.0
567,1.0
660,1.0
1232,-0.047619047619050114
672,0.7904761904761904
71,1.0
374,0.7411764705882352
842,0.7411764705882352
472,1.0
387,1.0
735,1.0
90,0.7411764705882352
106,1.0
743,0.7411764705882352
1166,0.8181818181818181
1295,0.6333333333333335
1277,0.21428571428571427
1288,0.4545454545454546
679,0.6071428571428573
1253,0.43589743589743585
1238,0.7411764705882352
674,0.8119658119658119
1192,1.0
972,1.0
1391,1.0
1100,1.0
226,0.8119658119658119
151,0.6140350877192982
474,1.0
809,1.0
812,1.0
1034,1.0
297,1.0
946,0.8119658119658119
1070,0.8119658119658119
1285,1.0
624,1.0
1349,1.0
1037,0.08333333333333333
1298,0.7411764705882352
1244,0.38888888888888884
332,1.0
719,1.0
1402,1.0
192,-0.09999999999999892
average,0.8028596238354201
