,intersection2,union,inter2/union
F,18,27,0.6666666666666666
D,48,55,0.8727272727272727
A,21,31,0.6774193548387096
K,6,6,1.0
C,22,33,0.6666666666666666
L,28,38,0.7368421052631579
B,26,44,0.5909090909090909
N,9,11,0.8181818181818182
E,21,31,0.6774193548387096
sum,0.0,0.0,0.7452035922324547
