id,type_Krippendroffis_alpha
746.0,0.7678571428571428
1088.0,0.6198830409356726
1317.0,0.5278450363196125
548.0,0.8426150121065376
159.0,1.0
375.0,0.8426150121065376
1064.0,0.7198275862068966
1217.0,0.6388888888888888
930.0,1.0
1220.0,1.0
745.0,1.0
612.0,0.7198275862068966
712.0,-0.031746031746031855
831.0,0.3606557377049181
1377.0,0.6388888888888888
1247.0,1.0
707.0,0.7868852459016393
562.0,0.8426150121065376
982.0,1.0
853.0,1.0
836.0,1.0
697.0,0.656084656084656
1389.0,0.3606557377049181
786.0,-0.048387096774193505
528.0,0.6388888888888888
425.0,1.0
769.0,1.0
1092.0,0.47580645161290325
704.0,0.47580645161290325
457.0,1.0
646.0,1.0
1269.0,0.7868852459016393
1093.0,1.0
211.0,1.0
694.0,0.47580645161290325
238.0,0.47580645161290325
820.0,1.0
475.0,1.0
1045.0,0.8426150121065376
868.0,0.8426150121065376
1325.0,0.7868852459016393
1291.0,0.6388888888888888
1356.0,0.7868852459016393
1214.0,1.0
584.0,1.0
1170.0,1.0
978.0,1.0
1251.0,1.0
471.0,1.0
380.0,1.0
1250.0,1.0
883.0,1.0
1326.0,1.0
1016.0,-0.031746031746031855
1169.0,0.3606557377049181
1392.0,-0.06557377049180313
134.0,0.3606557377049181
360.0,0.3606557377049181
1043.0,0.3606557377049181
1058.0,0.8426150121065376
652.0,0.6388888888888888
847.0,0.5278450363196125
1067.0,0.2777777777777778
994.0,0.5278450363196125
998.0,1.0
709.0,0.7868852459016393
692.0,0.7868852459016393
1239.0,0.5278450363196125
1242.0,0.7198275862068966
917.0,0.656084656084656
1225.0,0.7198275862068966
1146.0,0.8426150121065376
392.0,0.3606557377049181
1096.0,0.43965517241379315
547.0,0.6388888888888888
771.0,1.0
806.0,0.47580645161290325
593.0,0.3606557377049181
208.0,0.7868852459016393
350.0,1.0
874.0,1.0
630.0,0.7868852459016393
968.0,0.6388888888888888
1273.0,0.2777777777777778
1071.0,0.6388888888888888
75.0,1.0
892.0,0.47580645161290325
504.0,1.0
45.0,1.0
1083.0,0.6388888888888888
662.0,0.2777777777777778
651.0,0.3606557377049181
46.0,1.0
567.0,1.0
660.0,0.47580645161290325
1232.0,-0.015625
672.0,0.3606557377049181
71.0,1.0
374.0,0.3606557377049181
842.0,0.3606557377049181
472.0,1.0
387.0,1.0
735.0,0.47580645161290325
90.0,0.7868852459016393
106.0,0.7868852459016393
743.0,0.6388888888888888
1166.0,0.6198830409356726
1295.0,0.4628099173553719
1277.0,0.3035714285714285
1288.0,0.3664717348927875
679.0,0.21307506053268765
1253.0,0.21307506053268765
1238.0,-0.031746031746031855
674.0,0.5278450363196125
1192.0,1.0
972.0,1.0
1391.0,0.47580645161290325
1100.0,0.6388888888888888
226.0,0.8426150121065376
151.0,0.656084656084656
474.0,1.0
809.0,1.0
812.0,1.0
1034.0,1.0
297.0,1.0
946.0,0.6388888888888888
1070.0,0.6388888888888888
1285.0,1.0
624.0,1.0
1349.0,0.3606557377049181
1037.0,0.3606557377049181
1298.0,0.656084656084656
1244.0,-0.048387096774193505
332.0,0.5278450363196125
719.0,1.0
1402.0,1.0
192.0,-0.031746031746031855
average,0.6894317046148125
