,intersection2,union,inter2/union
B,135,192,0.703125
F,67,89,0.7528089887640449
A,110,129,0.8527131782945736
C,85,102,0.8333333333333334
L,156,187,0.8342245989304813
N,40,58,0.6896551724137931
D,47,69,0.6811594202898551
K,24,36,0.6666666666666666
Q,7,7,1.0
O,16,16,1.0
E,83,90,0.9222222222222224
P,22,24,0.9166666666666666
sum,0.0,0.0,0.8210479372984697
