,Fleiss_kappa
D,0.8592471358428805
A,1.0
F,0.6090909090909091
B,0.8957575757575756
N,0.6546184738955807
L,0.7393939393939393
C,0.5784313725490197
E,0.6872727272727273
K,1.0
P,1.0
average,0.8023812133802632
