,type_Fleiss_kappa
2149,1.0
532,0.341176470588236
2094,1.0
1125,0.6477987421383651
2294,0.4615384615384619
1274,1.0
251,0.6477987421383651
1978,1.0
2018,1.0
1331,0.7803921568627453
1139,1.0
2179,1.0
2153,1.0
2168,0.7803921568627453
2000,0.5102040816326533
1961,-0.03703703703703835
1578,1.0
1585,1.0
1671,1.0
1704,1.0
2373,1.0
798,1.0
1131,1.0
2374,1.0
1151,1.0
2051,1.0
1880,1.0
2069,0.6477987421383651
2367,-0.03703703703703835
2312,1.0
361,1.0
2037,1.0
1841,-0.03703703703703835
2078,0.6477987421383651
2151,1.0
2025,0.7803921568627453
2070,1.0
1804,-0.03703703703703835
1747,-0.03703703703703835
1673,1.0
2310,-0.03703703703703835
2061,1.0
478,1.0
1189,1.0
average,0.773251550697246
