,category_Fleiss_kappa
2149,1.0
532,1.0
2094,1.0
1125,1.0
2294,1.0
1274,1.0
251,0.7411764705882352
1978,1.0
2018,1.0
1331,0.6140350877192982
1139,1.0
2179,1.0
2153,1.0
2168,0.7904761904761904
2000,0.26666666666666683
1961,1.0
1578,1.0
1585,1.0
1671,1.0
1704,1.0
2373,1.0
798,1.0
1131,1.0
2374,1.0
1151,1.0
2051,1.0
1880,1.0
2069,0.7411764705882352
2367,-0.09999999999999892
2312,1.0
361,1.0
2037,1.0
1841,1.0
2078,0.7411764705882352
2151,1.0
2025,0.7411764705882352
2070,1.0
1804,1.0
1747,0.38888888888888884
1673,1.0
2310,0.38888888888888884
2061,1.0
478,1.0
1189,1.0
average,0.8934923092043835
