,category_Fleiss_kappa
93,1.0
182,1.0
94,0.19999999999999987
95,0.523809523809524
96,1.0
97,-0.2500000000000007
98,1.0
99,1.0
100,-0.11111111111111124
101,0.37499999999999983
102,1.0
103,1.0
104,0.6078431372549022
105,0.37499999999999983
145,1.0
146,-0.17647058823529377
147,1.0
148,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,0.523809523809524
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,0.6078431372549022
179,1.0
180,1.0
181,0.37499999999999983
average,0.8151331075065685
