,Fleiss_kappa
B,0.9415963659961063
F,0.591174561972745
D,0.9000000000000001
A,0.722222222222222
L,0.8863636363636365
C,0.8076923076923078
E,0.8964326812428076
N,0.8450946643717725
O,0.6551724137931034
K,1.0
average,0.82457488536547
