,category_Fleiss_kappa
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,0.6078431372549022
110,1.0
111,1.0
113,1.0
114,1.0
115,0.37499999999999983
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,0.7333333333333334
122,1.0
123,0.7333333333333334
125,0.6078431372549022
126,1.0
128,0.6078431372549022
131,1.0
133,-0.17647058823529377
134,1.0
135,1.0
136,1.0
137,0.797979797979798
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
112,-0.2500000000000007
124,-0.11111111111111124
127,-0.05263157894736725
129,-0.11111111111111124
130,-0.05263157894736725
average,0.7935382201790869
